Primary.specialty,Gender,count,tot,percent
HOSPICE/PALLIATIVE CARE,F,414,744,55.65
HOSPICE/PALLIATIVE CARE,M,330,744,44.35
INFECTIOUS DISEASE,F,1868,4788,39.01
INFECTIOUS DISEASE,M,2920,4788,60.99
INTERNAL MEDICINE,F,30934,85074,36.36
INTERNAL MEDICINE,M,54140,85074,63.64
INTERVENTIONAL CARDIOLOGY,F,76,1992,3.82
INTERVENTIONAL CARDIOLOGY,M,1916,1992,96.18
INTERVENTIONAL PAIN MANAGEMENT,F,182,1449,12.56
INTERVENTIONAL PAIN MANAGEMENT,M,1267,1449,87.44
INTERVENTIONAL RADIOLOGY,F,132,1227,10.76
INTERVENTIONAL RADIOLOGY,M,1095,1227,89.24
MAXILLOFACIAL SURGERY,F,69,978,7.06
MAXILLOFACIAL SURGERY,M,909,978,92.94
MEDICAL ONCOLOGY,F,856,2689,31.83
MEDICAL ONCOLOGY,M,1833,2689,68.17
NEPHROLOGY,F,1836,7185,25.55
NEPHROLOGY,M,5349,7185,74.45
NEUROLOGY,F,3734,12239,30.51
NEUROLOGY,M,8505,12239,69.49
NEUROPSYCHIATRY,F,27,96,28.12
NEUROPSYCHIATRY,M,69,96,71.88
NEUROSURGERY,F,305,4087,7.46
NEUROSURGERY,M,3782,4087,92.54
NUCLEAR MEDICINE,F,101,459,22
NUCLEAR MEDICINE,M,358,459,78
OBSTETRICS/GYNECOLOGY,F,14730,26862,54.84
OBSTETRICS/GYNECOLOGY,M,12132,26862,45.16
OCCUPATIONAL THERAPY,F,3908,4662,83.83
OCCUPATIONAL THERAPY,M,754,4662,16.17
OPHTHALMOLOGY,F,3559,15157,23.48
OPHTHALMOLOGY,M,11598,15157,76.52
OPTOMETRY,F,10094,26497,38.09
OPTOMETRY,M,16403,26497,61.91
ORAL SURGERY,F,207,1594,12.99
ORAL SURGERY,M,1387,1594,87.01
ORTHOPEDIC SURGERY,F,1067,19020,5.61
ORTHOPEDIC SURGERY,M,17953,19020,94.39
OSTEOPATHIC MANIPULATIVE MEDICINE,F,187,535,34.95
OSTEOPATHIC MANIPULATIVE MEDICINE,M,348,535,65.05
OTOLARYNGOLOGY,F,1245,7932,15.7
OTOLARYNGOLOGY,M,6687,7932,84.3
PAIN MANAGEMENT,F,257,1694,15.17
PAIN MANAGEMENT,M,1437,1694,84.83
PATHOLOGY,F,3948,10041,39.32
PATHOLOGY,M,6093,10041,60.68
PEDIATRIC MEDICINE,F,3455,6891,50.14
PEDIATRIC MEDICINE,M,3436,6891,49.86
PERIPHERAL VASCULAR DISEASE,F,10,59,16.95
PERIPHERAL VASCULAR DISEASE,M,49,59,83.05
PHYSICAL MEDICINE AND REHABILITATION,F,2088,6398,32.64
PHYSICAL MEDICINE AND REHABILITATION,M,4310,6398,67.36
PHYSICAL THERAPY,F,21958,39088,56.18
PHYSICAL THERAPY,M,17130,39088,43.82
PHYSICIAN ASSISTANT,F,820,1336,61.38
PHYSICIAN ASSISTANT,M,516,1336,38.62
PLASTIC AND RECONSTRUCTIVE SURGERY,F,627,4089,15.33
PLASTIC AND RECONSTRUCTIVE SURGERY,M,3462,4089,84.67
PODIATRY,F,2820,12397,22.75
PODIATRY,M,9577,12397,77.25
PREVENTATIVE MEDICINE,F,132,426,30.99
PREVENTATIVE MEDICINE,M,294,426,69.01
PSYCHIATRY,F,7515,20096,37.4
PSYCHIATRY,M,12581,20096,62.6
PULMONARY DISEASE,F,1593,8427,18.9
PULMONARY DISEASE,M,6834,8427,81.1
RADIATION ONCOLOGY,F,986,3866,25.5
RADIATION ONCOLOGY,M,2880,3866,74.5
REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,F,2503,2579,97.05
REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,M,76,2579,2.95
RHEUMATOLOGY,F,1647,3921,42
RHEUMATOLOGY,M,2274,3921,58
SINGLE OR MULTISPECIALTY CLINIC OR GROUP PRACTICE,F,1,4,25
SINGLE OR MULTISPECIALTY CLINIC OR GROUP PRACTICE,M,3,4,75
SLEEP LABORATORY/MEDICINE,F,82,256,32.03
SLEEP LABORATORY/MEDICINE,M,174,256,67.97
SPEECH LANGUAGE PATHOLOGIST,F,1293,1394,92.75
SPEECH LANGUAGE PATHOLOGIST,M,101,1394,7.25
SPORTS MEDICINE,F,124,813,15.25
SPORTS MEDICINE,M,689,813,84.75
SURGICAL ONCOLOGY,F,282,767,36.77
SURGICAL ONCOLOGY,M,485,767,63.23
THORACIC SURGERY,F,132,1976,6.68
THORACIC SURGERY,M,1844,1976,93.32
UROLOGY,F,687,7942,8.65
UROLOGY,M,7255,7942,91.35
VASCULAR SURGERY,F,295,2664,11.07
VASCULAR SURGERY,M,2369,2664,88.93
