"","NA.","experience","Primary.specialty","grads"
"62","62",1,"CERTIFIED REGISTERED NURSE ANESTHETIST",1853
"63","63",1,"CHIROPRACTIC",572
"64","64",1,"CLINICAL NURSE SPECIALIST",49
"65","65",1,"CLINICAL PSYCHOLOGIST",86
"66","66",1,"CLINICAL SOCIAL WORKER",41
"67","67",1,"DERMATOLOGY",25
"68","68",1,"DIAGNOSTIC RADIOLOGY",4
"69","69",1,"EMERGENCY MEDICINE",9
"70","70",1,"FAMILY PRACTICE",108
"71","71",1,"GASTROENTEROLOGY",5
"72","72",1,"GENERAL PRACTICE",2
"73","73",1,"GENERAL SURGERY",14
"74","74",1,"GERIATRIC MEDICINE",3
"75","75",1,"GYNECOLOGICAL ONCOLOGY",1
"76","76",1,"HAND SURGERY",1
"77","77",1,"HEMATOLOGY/ONCOLOGY",3
"78","78",1,"HOSPICE/PALLIATIVE CARE",1
"79","79",1,"INFECTIOUS DISEASE",1
"80","80",1,"INTERNAL MEDICINE",101
"81","81",1,"INTERVENTIONAL CARDIOLOGY",1
"82","82",1,"MAXILLOFACIAL SURGERY",5
"83","83",1,"NEPHROLOGY",5
"84","84",1,"NEUROLOGY",15
"85","85",1,"NEUROSURGERY",1
"86","86",1,"NURSE PRACTITIONER",7480
"87","87",1,"OBSTETRICS/GYNECOLOGY",41
"88","88",1,"OCCUPATIONAL THERAPY",174
"89","89",1,"OPHTHALMOLOGY",15
"90","90",1,"OPTOMETRY",646
"91","91",1,"ORAL SURGERY (DENTIST ONLY)",9
"92","92",1,"ORTHOPEDIC SURGERY",27
"93","93",1,"OTOLARYNGOLOGY",8
"94","94",1,"PAIN MANAGEMENT",6
"95","95",1,"PATHOLOGY",2
"96","96",1,"PEDIATRIC MEDICINE",4
"97","97",1,"PHYSICAL MEDICINE AND REHABILITATION",17
"98","98",1,"PHYSICAL THERAPY",2333
"99","99",1,"PHYSICIAN ASSISTANT",27
"100","100",1,"PLASTIC AND RECONSTRUCTIVE SURGERY",1
"101","101",1,"PODIATRY",13
"102","102",1,"PSYCHIATRY",17
"103","103",1,"PULMONARY DISEASE",7
"104","104",1,"RADIATION ONCOLOGY",5
"105","105",1,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",46
"106","106",1,"SPEECH LANGUAGE PATHOLOGIST",32
"107","107",1,"THORACIC SURGERY",2
"108","108",1,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",1
"109","109",1,"UROLOGY",8
"110","110",2,"ALLERGY/IMMUNOLOGY",2
"111","111",2,"ANESTHESIOLOGY",29
"112","112",2,"ANESTHESIOLOGY ASSISTANT",155
"113","113",2,"AUDIOLOGIST",234
"114","114",2,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",5
"115","115",2,"CERTIFIED NURSE MIDWIFE",122
"116","116",2,"CERTIFIED REGISTERED NURSE ANESTHETIST",1914
"117","117",2,"CHIROPRACTIC",719
"118","118",2,"CLINICAL NURSE SPECIALIST",53
"119","119",2,"CLINICAL PSYCHOLOGIST",376
"120","120",2,"CLINICAL SOCIAL WORKER",93
"121","121",2,"CRITICAL CARE (INTENSIVISTS)",1
"122","122",2,"DERMATOLOGY",20
"123","123",2,"DIAGNOSTIC RADIOLOGY",8
"124","124",2,"EMERGENCY MEDICINE",44
"125","125",2,"ENDOCRINOLOGY",1
"126","126",2,"FAMILY PRACTICE",275
"127","127",2,"GASTROENTEROLOGY",2
"128","128",2,"GENERAL PRACTICE",12
"129","129",2,"GENERAL SURGERY",26
"130","130",2,"GERIATRIC MEDICINE",1
"131","131",2,"HEMATOLOGY/ONCOLOGY",4
"132","132",2,"HOSPICE/PALLIATIVE CARE",1
"133","133",2,"INFECTIOUS DISEASE",2
"134","134",2,"INTERNAL MEDICINE",149
"135","135",2,"INTERVENTIONAL PAIN MANAGEMENT",1
"136","136",2,"MAXILLOFACIAL SURGERY",10
"137","137",2,"MEDICAL ONCOLOGY",1
"138","138",2,"NEPHROLOGY",5
"139","139",2,"NEUROLOGY",16
"140","140",2,"NEUROSURGERY",7
"141","141",2,"NURSE PRACTITIONER",7380
"142","142",2,"OBSTETRICS/GYNECOLOGY",34
"143","143",2,"OCCUPATIONAL THERAPY",185
"144","144",2,"OPHTHALMOLOGY",12
"145","145",2,"OPTOMETRY",693
"146","146",2,"ORAL SURGERY (DENTIST ONLY)",14
"147","147",2,"ORTHOPEDIC SURGERY",19
"148","148",2,"OSTEOPATHIC MANIPULATIVE MEDICINE",6
"149","149",2,"OTOLARYNGOLOGY",6
"150","150",2,"PAIN MANAGEMENT",1
"151","151",2,"PATHOLOGY",3
"152","152",2,"PEDIATRIC MEDICINE",2
"153","153",2,"PHYSICAL MEDICINE AND REHABILITATION",25
"154","154",2,"PHYSICAL THERAPY",2281
"155","155",2,"PHYSICIAN ASSISTANT",46
"156","156",2,"PLASTIC AND RECONSTRUCTIVE SURGERY",1
"157","157",2,"PODIATRY",15
"158","158",2,"PREVENTATIVE MEDICINE",1
"159","159",2,"PSYCHIATRY",46
"160","160",2,"PULMONARY DISEASE",4
"161","161",2,"RADIATION ONCOLOGY",4
"162","162",2,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",82
"163","163",2,"RHEUMATOLOGY",1
"164","164",2,"SPEECH LANGUAGE PATHOLOGIST",49
"165","165",2,"SURGICAL ONCOLOGY",1
"166","166",2,"UNDEFINED NON-PHYSICIAN TYPE (SPECIFY)",1
"167","167",2,"UROLOGY",12
"168","168",2,"VASCULAR SURGERY",2
"169","169",3,"ADDICTION MEDICINE",1
"170","170",3,"ALLERGY/IMMUNOLOGY",3
"171","171",3,"ANESTHESIOLOGY",40
"172","172",3,"ANESTHESIOLOGY ASSISTANT",128
"173","173",3,"AUDIOLOGIST",228
"174","174",3,"CARDIAC ELECTROPHYSIOLOGY",1
"175","175",3,"CARDIAC SURGERY",2
"176","176",3,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",11
"177","177",3,"CERTIFIED NURSE MIDWIFE",141
"178","178",3,"CERTIFIED REGISTERED NURSE ANESTHETIST",1873
"179","179",3,"CHIROPRACTIC",752
"180","180",3,"CLINICAL NURSE SPECIALIST",64
"181","181",3,"CLINICAL PSYCHOLOGIST",474
"182","182",3,"CLINICAL SOCIAL WORKER",361
"183","183",3,"CRITICAL CARE (INTENSIVISTS)",4
"184","184",3,"DERMATOLOGY",19
"185","185",3,"DIAGNOSTIC RADIOLOGY",9
"186","186",3,"EMERGENCY MEDICINE",266
"187","187",3,"ENDOCRINOLOGY",4
"188","188",3,"FAMILY PRACTICE",1387
"189","189",3,"GASTROENTEROLOGY",10
"190","190",3,"GENERAL PRACTICE",33
"191","191",3,"GENERAL SURGERY",20
"192","192",3,"GERIATRIC MEDICINE",2
"193","193",3,"HEMATOLOGY/ONCOLOGY",8
"194","194",3,"HOSPICE/PALLIATIVE CARE",2
"195","195",3,"INFECTIOUS DISEASE",6
"196","196",3,"INTERNAL MEDICINE",1667
"197","197",3,"INTERVENTIONAL CARDIOLOGY",3
"198","198",3,"INTERVENTIONAL PAIN MANAGEMENT",1
"199","199",3,"INTERVENTIONAL RADIOLOGY",1
"200","200",3,"MAXILLOFACIAL SURGERY",8
"201","201",3,"NEPHROLOGY",8
"202","202",3,"NEUROLOGY",22
"203","203",3,"NEUROSURGERY",5
"204","204",3,"NURSE PRACTITIONER",6412
"205","205",3,"OBSTETRICS/GYNECOLOGY",35
"206","206",3,"OCCUPATIONAL THERAPY",167
"207","207",3,"OPHTHALMOLOGY",16
"208","208",3,"OPTOMETRY",678
"209","209",3,"ORAL SURGERY (DENTIST ONLY)",11
"210","210",3,"ORTHOPEDIC SURGERY",23
"211","211",3,"OSTEOPATHIC MANIPULATIVE MEDICINE",13
"212","212",3,"OTOLARYNGOLOGY",10
"213","213",3,"PAIN MANAGEMENT",4
"214","214",3,"PATHOLOGY",8
"215","215",3,"PEDIATRIC MEDICINE",32
"216","216",3,"PHYSICAL MEDICINE AND REHABILITATION",23
"217","217",3,"PHYSICAL THERAPY",2015
"218","218",3,"PHYSICIAN ASSISTANT",54
"219","219",3,"PLASTIC AND RECONSTRUCTIVE SURGERY",4
"220","220",3,"PODIATRY",249
"221","221",3,"PREVENTATIVE MEDICINE",2
"222","222",3,"PSYCHIATRY",73
"223","223",3,"PULMONARY DISEASE",2
"224","224",3,"RADIATION ONCOLOGY",6
"225","225",3,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",97
"226","226",3,"RHEUMATOLOGY",1
"227","227",3,"SPEECH LANGUAGE PATHOLOGIST",66
"228","228",3,"SPORTS MEDICINE",4
"229","229",3,"THORACIC SURGERY",1
"230","230",3,"UNDEFINED NON-PHYSICIAN TYPE (SPECIFY)",1
"231","231",3,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",1
"232","232",3,"UROLOGY",18
"233","233",3,"VASCULAR SURGERY",1
"234","234",4,"ADDICTION MEDICINE",1
"235","235",4,"ALLERGY/IMMUNOLOGY",4
"236","236",4,"ANESTHESIOLOGY",528
"237","237",4,"ANESTHESIOLOGY ASSISTANT",121
"238","238",4,"AUDIOLOGIST",205
"239","239",4,"CARDIAC ELECTROPHYSIOLOGY",1
"240","240",4,"CARDIAC SURGERY",1
"241","241",4,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",14
"242","242",4,"CERTIFIED NURSE MIDWIFE",119
"243","243",4,"CERTIFIED REGISTERED NURSE ANESTHETIST",1846
"244","244",4,"CHIROPRACTIC",918
"245","245",4,"CLINICAL NURSE SPECIALIST",60
"246","246",4,"CLINICAL PSYCHOLOGIST",515
"247","247",4,"CLINICAL SOCIAL WORKER",647
"248","248",4,"COLORECTAL SURGERY (PROCTOLOGY)",1
"249","249",4,"CRITICAL CARE (INTENSIVISTS)",6
"250","250",4,"DERMATOLOGY",205
"251","251",4,"DIAGNOSTIC RADIOLOGY",30
"252","252",4,"EMERGENCY MEDICINE",517
"253","253",4,"ENDOCRINOLOGY",4
"254","254",4,"FAMILY PRACTICE",1960
"255","255",4,"GASTROENTEROLOGY",11
"256","256",4,"GENERAL PRACTICE",55
"257","257",4,"GENERAL SURGERY",46
"258","258",4,"GERIATRIC MEDICINE",23
"259","259",4,"GERIATRIC PSYCHIATRY",2
"260","260",4,"GYNECOLOGICAL ONCOLOGY",1
"261","261",4,"HAND SURGERY",2
"262","262",4,"HEMATOLOGY/ONCOLOGY",18
"263","263",4,"HOSPICE/PALLIATIVE CARE",11
"264","264",4,"INFECTIOUS DISEASE",7
"265","265",4,"INTERNAL MEDICINE",2356
"266","266",4,"INTERVENTIONAL PAIN MANAGEMENT",2
"267","267",4,"INTERVENTIONAL RADIOLOGY",1
"268","268",4,"MAXILLOFACIAL SURGERY",15
"269","269",4,"MEDICAL ONCOLOGY",1
"270","270",4,"NEPHROLOGY",18
"271","271",4,"NEUROLOGY",83
"272","272",4,"NEUROPSYCHIATRY",1
"273","273",4,"NEUROSURGERY",6
"274","274",4,"NURSE PRACTITIONER",5190
"275","275",4,"OBSTETRICS/GYNECOLOGY",455
"276","276",4,"OCCUPATIONAL THERAPY",150
"277","277",4,"OPHTHALMOLOGY",275
"278","278",4,"OPTOMETRY",672
"279","279",4,"ORAL SURGERY (DENTIST ONLY)",18
"280","280",4,"ORTHOPEDIC SURGERY",35
"281","281",4,"OSTEOPATHIC MANIPULATIVE MEDICINE",17
"282","282",4,"OTOLARYNGOLOGY",10
"283","283",4,"PAIN MANAGEMENT",8
"284","284",4,"PATHOLOGY",41
"285","285",4,"PEDIATRIC MEDICINE",73
"286","286",4,"PHYSICAL MEDICINE AND REHABILITATION",119
"287","287",4,"PHYSICAL THERAPY",1709
"288","288",4,"PHYSICIAN ASSISTANT",39
"289","289",4,"PLASTIC AND RECONSTRUCTIVE SURGERY",1
"290","290",4,"PODIATRY",367
"291","291",4,"PREVENTATIVE MEDICINE",3
"292","292",4,"PSYCHIATRY",219
"293","293",4,"PULMONARY DISEASE",12
"294","294",4,"RADIATION ONCOLOGY",7
"295","295",4,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",96
"296","296",4,"RHEUMATOLOGY",4
"297","297",4,"SLEEP LABORATORY/MEDICINE",1
"298","298",4,"SPEECH LANGUAGE PATHOLOGIST",90
"299","299",4,"SPORTS MEDICINE",23
"300","300",4,"SURGICAL ONCOLOGY",1
"301","301",4,"UNDEFINED NON-PHYSICIAN TYPE (SPECIFY)",1
"302","302",4,"UROLOGY",12
"303","303",5,"ADDICTION MEDICINE",2
"304","304",5,"ALLERGY/IMMUNOLOGY",32
"305","305",5,"ANESTHESIOLOGY",923
"306","306",5,"ANESTHESIOLOGY ASSISTANT",83
"307","307",5,"AUDIOLOGIST",288
"308","308",5,"CARDIAC ELECTROPHYSIOLOGY",1
"309","309",5,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",25
"310","310",5,"CERTIFIED NURSE MIDWIFE",100
"311","311",5,"CERTIFIED REGISTERED NURSE ANESTHETIST",1768
"312","312",5,"CHIROPRACTIC",969
"313","313",5,"CLINICAL NURSE SPECIALIST",68
"314","314",5,"CLINICAL PSYCHOLOGIST",549
"315","315",5,"CLINICAL SOCIAL WORKER",742
"316","316",5,"COLORECTAL SURGERY (PROCTOLOGY)",2
"317","317",5,"CRITICAL CARE (INTENSIVISTS)",22
"318","318",5,"DERMATOLOGY",271
"319","319",5,"DIAGNOSTIC RADIOLOGY",368
"320","320",5,"EMERGENCY MEDICINE",539
"321","321",5,"ENDOCRINOLOGY",40
"322","322",5,"FAMILY PRACTICE",1933
"323","323",5,"GASTROENTEROLOGY",21
"324","324",5,"GENERAL PRACTICE",40
"325","325",5,"GENERAL SURGERY",205
"326","326",5,"GERIATRIC MEDICINE",24
"327","327",5,"GERIATRIC PSYCHIATRY",3
"328","328",5,"GYNECOLOGICAL ONCOLOGY",7
"329","329",5,"HAND SURGERY",4
"330","330",5,"HEMATOLOGY",2
"331","331",5,"HEMATOLOGY/ONCOLOGY",17
"332","332",5,"HOSPICE/PALLIATIVE CARE",35
"333","333",5,"INFECTIOUS DISEASE",53
"334","334",5,"INTERNAL MEDICINE",2325
"335","335",5,"INTERVENTIONAL CARDIOLOGY",1
"336","336",5,"INTERVENTIONAL PAIN MANAGEMENT",15
"337","337",5,"INTERVENTIONAL RADIOLOGY",4
"338","338",5,"MAXILLOFACIAL SURGERY",21
"339","339",5,"MEDICAL ONCOLOGY",3
"340","340",5,"NEPHROLOGY",55
"341","341",5,"NEUROLOGY",250
"342","342",5,"NEUROPSYCHIATRY",1
"343","343",5,"NEUROSURGERY",9
"344","344",5,"NUCLEAR MEDICINE",1
"345","345",5,"NURSE PRACTITIONER",4494
"346","346",5,"OBSTETRICS/GYNECOLOGY",684
"347","347",5,"OCCUPATIONAL THERAPY",137
"348","348",5,"OPHTHALMOLOGY",365
"349","349",5,"OPTOMETRY",695
"350","350",5,"ORAL SURGERY (DENTIST ONLY)",30
"351","351",5,"ORTHOPEDIC SURGERY",250
"352","352",5,"OSTEOPATHIC MANIPULATIVE MEDICINE",25
"353","353",5,"OTOLARYNGOLOGY",151
"354","354",5,"PAIN MANAGEMENT",62
"355","355",5,"PATHOLOGY",149
"356","356",5,"PEDIATRIC MEDICINE",107
"357","357",5,"PERIPHERAL VASCULAR DISEASE",1
"358","358",5,"PHYSICAL MEDICINE AND REHABILITATION",190
"359","359",5,"PHYSICAL THERAPY",1677
"360","360",5,"PHYSICIAN ASSISTANT",73
"361","361",5,"PLASTIC AND RECONSTRUCTIVE SURGERY",4
"362","362",5,"PODIATRY",318
"363","363",5,"PREVENTATIVE MEDICINE",6
"364","364",5,"PSYCHIATRY",350
"365","365",5,"PULMONARY DISEASE",19
"366","366",5,"RADIATION ONCOLOGY",107
"367","367",5,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",94
"368","368",5,"RHEUMATOLOGY",45
"369","369",5,"SLEEP LABORATORY/MEDICINE",3
"370","370",5,"SPEECH LANGUAGE PATHOLOGIST",77
"371","371",5,"SPORTS MEDICINE",40
"372","372",5,"SURGICAL ONCOLOGY",2
"373","373",5,"THORACIC SURGERY",3
"374","374",5,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",2
"375","375",5,"UROLOGY",96
"376","376",5,"VASCULAR SURGERY",12
"377","377",6,"ADDICTION MEDICINE",1
"378","378",6,"ALLERGY/IMMUNOLOGY",52
"379","379",6,"ANESTHESIOLOGY",1105
"380","380",6,"ANESTHESIOLOGY ASSISTANT",87
"381","381",6,"AUDIOLOGIST",274
"382","382",6,"CARDIAC ELECTROPHYSIOLOGY",2
"383","383",6,"CARDIAC SURGERY",4
"384","384",6,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",109
"385","385",6,"CERTIFIED NURSE MIDWIFE",70
"386","386",6,"CERTIFIED REGISTERED NURSE ANESTHETIST",1647
"387","387",6,"CHIROPRACTIC",937
"388","388",6,"CLINICAL NURSE SPECIALIST",78
"389","389",6,"CLINICAL PSYCHOLOGIST",518
"390","390",6,"CLINICAL SOCIAL WORKER",815
"391","391",6,"COLORECTAL SURGERY (PROCTOLOGY)",15
"392","392",6,"CRITICAL CARE (INTENSIVISTS)",52
"393","393",6,"DERMATOLOGY",320
"394","394",6,"DIAGNOSTIC RADIOLOGY",759
"395","395",6,"EMERGENCY MEDICINE",564
"396","396",6,"ENDOCRINOLOGY",89
"397","397",6,"FAMILY PRACTICE",1861
"398","398",6,"GASTROENTEROLOGY",124
"399","399",6,"GENERAL PRACTICE",50
"400","400",6,"GENERAL SURGERY",348
"401","401",6,"GERIATRIC MEDICINE",40
"402","402",6,"GERIATRIC PSYCHIATRY",2
"403","403",6,"GYNECOLOGICAL ONCOLOGY",4
"404","404",6,"HAND SURGERY",29
"405","405",6,"HEMATOLOGY",10
"406","406",6,"HEMATOLOGY/ONCOLOGY",111
"407","407",6,"HOSPICE/PALLIATIVE CARE",29
"408","408",6,"INFECTIOUS DISEASE",75
"409","409",6,"INTERNAL MEDICINE",2359
"410","410",6,"INTERVENTIONAL PAIN MANAGEMENT",23
"411","411",6,"INTERVENTIONAL RADIOLOGY",49
"412","412",6,"MAXILLOFACIAL SURGERY",22
"413","413",6,"MEDICAL ONCOLOGY",34
"414","414",6,"NEPHROLOGY",97
"415","415",6,"NEUROLOGY",345
"416","416",6,"NEUROPSYCHIATRY",3
"417","417",6,"NEUROSURGERY",46
"418","418",6,"NUCLEAR MEDICINE",6
"419","419",6,"NURSE PRACTITIONER",3965
"420","420",6,"OBSTETRICS/GYNECOLOGY",708
"421","421",6,"OCCUPATIONAL THERAPY",133
"422","422",6,"OPHTHALMOLOGY",363
"423","423",6,"OPTOMETRY",718
"424","424",6,"ORAL SURGERY (DENTIST ONLY)",39
"425","425",6,"ORTHOPEDIC SURGERY",478
"426","426",6,"OSTEOPATHIC MANIPULATIVE MEDICINE",18
"427","427",6,"OTOLARYNGOLOGY",181
"428","428",6,"PAIN MANAGEMENT",80
"429","429",6,"PATHOLOGY",235
"430","430",6,"PEDIATRIC MEDICINE",154
"431","431",6,"PHYSICAL MEDICINE AND REHABILITATION",218
"432","432",6,"PHYSICAL THERAPY",1441
"433","433",6,"PHYSICIAN ASSISTANT",62
"434","434",6,"PLASTIC AND RECONSTRUCTIVE SURGERY",25
"435","435",6,"PODIATRY",302
"436","436",6,"PREVENTATIVE MEDICINE",5
"437","437",6,"PSYCHIATRY",433
"438","438",6,"PULMONARY DISEASE",82
"439","439",6,"RADIATION ONCOLOGY",122
"440","440",6,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",96
"441","441",6,"RHEUMATOLOGY",77
"442","442",6,"SLEEP LABORATORY/MEDICINE",3
"443","443",6,"SPEECH LANGUAGE PATHOLOGIST",65
"444","444",6,"SPORTS MEDICINE",45
"445","445",6,"SURGICAL ONCOLOGY",13
"446","446",6,"THORACIC SURGERY",2
"447","447",6,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",5
"448","448",6,"UROLOGY",183
"449","449",6,"VASCULAR SURGERY",12
"450","450",7,"ADDICTION MEDICINE",3
"451","451",7,"ALLERGY/IMMUNOLOGY",52
"452","452",7,"ANESTHESIOLOGY",1054
"453","453",7,"ANESTHESIOLOGY ASSISTANT",75
"454","454",7,"AUDIOLOGIST",267
"455","455",7,"CARDIAC ELECTROPHYSIOLOGY",8
"456","456",7,"CARDIAC SURGERY",11
"457","457",7,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",222
"458","458",7,"CERTIFIED NURSE MIDWIFE",82
"459","459",7,"CERTIFIED REGISTERED NURSE ANESTHETIST",1606
"460","460",7,"CHIROPRACTIC",917
"461","461",7,"CLINICAL NURSE SPECIALIST",55
"462","462",7,"CLINICAL PSYCHOLOGIST",521
"463","463",7,"CLINICAL SOCIAL WORKER",876
"464","464",7,"COLORECTAL SURGERY (PROCTOLOGY)",24
"465","465",7,"CRITICAL CARE (INTENSIVISTS)",87
"466","466",7,"DERMATOLOGY",283
"467","467",7,"DIAGNOSTIC RADIOLOGY",765
"468","468",7,"EMERGENCY MEDICINE",549
"469","469",7,"ENDOCRINOLOGY",104
"470","470",7,"FAMILY PRACTICE",1900
"471","471",7,"GASTROENTEROLOGY",222
"472","472",7,"GENERAL PRACTICE",53
"473","473",7,"GENERAL SURGERY",432
"474","474",7,"GERIATRIC MEDICINE",23
"475","475",7,"GERIATRIC PSYCHIATRY",3
"476","476",7,"GYNECOLOGICAL ONCOLOGY",10
"477","477",7,"HAND SURGERY",36
"478","478",7,"HEMATOLOGY",18
"479","479",7,"HEMATOLOGY/ONCOLOGY",151
"480","480",7,"HOSPICE/PALLIATIVE CARE",29
"481","481",7,"INFECTIOUS DISEASE",97
"482","482",7,"INTERNAL MEDICINE",2471
"483","483",7,"INTERVENTIONAL CARDIOLOGY",11
"484","484",7,"INTERVENTIONAL PAIN MANAGEMENT",28
"485","485",7,"INTERVENTIONAL RADIOLOGY",55
"486","486",7,"MAXILLOFACIAL SURGERY",33
"487","487",7,"MEDICAL ONCOLOGY",45
"488","488",7,"NEPHROLOGY",121
"489","489",7,"NEUROLOGY",381
"490","490",7,"NEUROPSYCHIATRY",1
"491","491",7,"NEUROSURGERY",112
"492","492",7,"NUCLEAR MEDICINE",3
"493","493",7,"NURSE PRACTITIONER",3352
"494","494",7,"OBSTETRICS/GYNECOLOGY",749
"495","495",7,"OCCUPATIONAL THERAPY",123
"496","496",7,"OPHTHALMOLOGY",342
"497","497",7,"OPTOMETRY",686
"498","498",7,"ORAL SURGERY (DENTIST ONLY)",45
"499","499",7,"ORTHOPEDIC SURGERY",528
"500","500",7,"OSTEOPATHIC MANIPULATIVE MEDICINE",15
"501","501",7,"OTOLARYNGOLOGY",205
"502","502",7,"PAIN MANAGEMENT",66
"503","503",7,"PATHOLOGY",205
"504","504",7,"PEDIATRIC MEDICINE",206
"505","505",7,"PERIPHERAL VASCULAR DISEASE",1
"506","506",7,"PHYSICAL MEDICINE AND REHABILITATION",234
"507","507",7,"PHYSICAL THERAPY",1245
"508","508",7,"PHYSICIAN ASSISTANT",68
"509","509",7,"PLASTIC AND RECONSTRUCTIVE SURGERY",65
"510","510",7,"PODIATRY",315
"511","511",7,"PREVENTATIVE MEDICINE",6
"512","512",7,"PSYCHIATRY",425
"513","513",7,"PULMONARY DISEASE",135
"514","514",7,"RADIATION ONCOLOGY",129
"515","515",7,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",93
"516","516",7,"RHEUMATOLOGY",85
"517","517",7,"SINGLE OR MULTISPECIALTY CLINIC OR GROUP PRACTICE",1
"518","518",7,"SLEEP LABORATORY/MEDICINE",5
"519","519",7,"SPEECH LANGUAGE PATHOLOGIST",49
"520","520",7,"SPORTS MEDICINE",55
"521","521",7,"SURGICAL ONCOLOGY",16
"522","522",7,"THORACIC SURGERY",13
"523","523",7,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",5
"524","524",7,"UROLOGY",199
"525","525",7,"VASCULAR SURGERY",51
"526","526",8,"ADDICTION MEDICINE",4
"527","527",8,"ALLERGY/IMMUNOLOGY",48
"528","528",8,"ANESTHESIOLOGY",1051
"529","529",8,"ANESTHESIOLOGY ASSISTANT",49
"530","530",8,"AUDIOLOGIST",298
"531","531",8,"CARDIAC ELECTROPHYSIOLOGY",39
"532","532",8,"CARDIAC SURGERY",14
"533","533",8,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",294
"534","534",8,"CERTIFIED NURSE MIDWIFE",81
"535","535",8,"CERTIFIED REGISTERED NURSE ANESTHETIST",1420
"536","536",8,"CHIROPRACTIC",878
