,,Unnamed: 0,X,review,user
1,36,56,55.0,"In 1960, this was a frightening look at the future, but seemed so far away. Next thing I knew, it was the real 1984 and Big Brother was only a reality in places like the Soviet Union.",Gayle
1,37,57,56.0,So thought provoking! It could have been a great book except for the overuse of unnecessary sexual content. Nothing graphic at all but still all throughout and mentioned frequently. That alone skewed my whole opinion of the book. ,Carly
1,38,58,57.0,I thought this was one of the top most boring books after getting to the middle. Did not finish it. It just dragged on.,Ericka 'carlson' tucker
1,39,60,59.0,"I cannot get through the ending of this book. I hate leaving a book unfinished but this has happened three times, years apart. Not for me, I guess.",Brandi Arwood
1,40,64,63.0,"Words cannot convey how much I hated this book. I expected something to happen, but it took the last 75 pages to even become remotely interesting. All he did was complain about the Party, then when he was caught he complained EVEN THOUGH HE SPENT THE WHOLE BOOK SAYING HE WOULD BE CAUGHT. Surprise surprise. This should have just been a short story. I realize what the point of the novel was, only because Orwell kept bashing me over the head with it. ",Brooke West
1,41,65,64.0,"I did not really like the book too much. The book was sort of gloomy and just did not appeal to me. I would recommend the book just because I would want to see what other people thought of it. At the time it was written it could have seemed that the book could have actually come true and the things happening in the book could have actually happen, but they did not happen. The book is just boring to me not enough cool stuff and stuff that I could really relate to and see happening in real life situations. I only like books I can really relate to and this just is not a book I can see that with.",Dylan Ryland
1,42,66,65.0,"OK, I finally got around to reading this. It kept popping up in reccomendation lists because of the type of book I usually enjoy. But I just don't understand what all the fuss is about with this book? It was incredibly dull and I didn't like the main charactor at all. I feel a little guilty for my rating because I know how much people love this book, but it just wasn't for me. Excellent ideas of course, especially considering when it was written. I just didn't enjoy reading it.",Suzanne
1,43,68,67.0,Couldn't finish it. Too depressing and awful to imagine. Plus I read a review and found out what's coming up and didn't want to deal with that either. ,Sandy
1,44,74,73.0,"Tried hard to read this but couldn't get through the first third. Probably the most boring book I ever tried to read. The characters and the setting are incredibly bleak and boring. Absolutely nothing kept my interest. I guess that was sort of Orwell's point to show how beaten down everyone is by the government, but I found nothing entertaining while reading this. Huge waste of time.",Jason Roth
1,45,77,76.0,This was a horrible book.,Alannahkennedy
1,46,79,78.0,great novel .... all what i can say,Mahmoud Ali
1,47,81,80.0,"It is mind-bogglingly and brilliantly eye-opening (pun intended), I just can't decide if I despise the ending because he conformed, or love it because it's the type of heart-wrenching, anger-inducing full stop to a mind-numbing piece of literature. The former was only chosen for a change.",Moriah Cena
1,48,84,83.0,"[Note: I give this one star not because it was a crappy book, but because I just could not get into it. One star means ""did not like it"" on this site, not ""this book was horrible."" Big difference, and I recognize that, so don't go saying I'm an idiot or something.] Alright, the plot of any book or movie generally needs to start around the end of the first third of it; 1984's plot did not begin until the halfway point was reached. Maybe the second half of the book was better, but I wouldn't know because that's where I stopped. I was annoyed that I read half of it and still nothing of interest had yet begun. I was also pretty confused during most parts of it, but that's probably just because I'm not used to Orwell's writing style. I think the reason so many people love this book is because they think they're ""supposed"" to love it. It's a ""classic,"" as they say. People love to agree with brilliant critics and analysts because it makes them think they themselves are brilliant as well. But just because a book or movie has a cool idea to it (as in this book's case) doesn't mean that that idea was portrayed and executed well. I did enjoy ""Animal Farm,"" though.",Chris Graham
1,49,87,86.0,"I read like 300/320 pages but i couldn't finish it. I loved the part were they were together and the conspiracy but that was all. All the turning around, the double agents, got me confused.",Kitty Kate
1,50,89,88.0,"I just couldn't get into this book no matter how hard I tried. I know it's considered one of those books you must read before you die, well luckily I have years of my life left to possibly pick up this bland awkward book again. Hats off to those of you who made it through.",Kristin Whitcomb
1,51,90,89.0,Man pants. next.,Nievie
1,52,92,91.0,"I listened to this book. I do not think I would have finished this book if I was reading it. I will admit there was an element of curiosity pushing me to finish, that element was overwhelmed with thoughts of ""Will this book ever end."" My 15 year old granddaughter was assigned to read this book, which seems more like cruel and unusual punishment for that age group. ",Vonnie
1,53,93,92.0,Wouldn't even wipe my arse with this. Utter drivel ,Charles Shires
1,54,97,96.0,i know it is a classic but i did not like it and did not even read it all,Tamiya Shane
1,55,98,97.0,"Thought provoking but miserable. It was a bit of a pain to read. That said, I highly recommend reading this book because a lot of what is covered has become part of our culture.It's important to know what they are talking about when people mention thought police, doublethink, etc",alistair pott
1,56,101,100.0,it was ok it was a little too creepy for my taste but if you like creepy scary things it is a good book for you,Olivia
1,57,102,101.0,"Oh....BORING!! I couldn't make it through this one. I don't ditch too many books, but this was one I did.",Kenzie
1,58,103,102.0,"What I learned? I learned that this book is unbelievably depressing and that I never want to read it again. I guess you could call it a classic and it does have an interesting message but, man, way to make a person feel like crap about the world. ",Xanblank
1,59,106,105.0,"Honestly an ok book, but the damage this has done to the socialist movement makes me sick. It was basically instrumental in creating the stupid illusion that Communism= Totalitarian.To everyone out there that thinks this is the case, try reading some actual marx sometime, even a few lines of it and you will realize this is not the case. On another note Orwell was a socialist himself and actually fought on the side of Communists and Anarchists in the Spanish Civil war. He wrote an entire book about it. ",Nativeabuse
1,60,107,106.0,"After nearly a month of basically forcing myself to finish this book, I gotta say I expected more... WAY moreI wanted to give it more than this 1 star review, but the book simply did not meet my expectations at all.Spoiler alert from here on, be warned.While I expected a good story, I feel that all I got was a long description book, with a main character that could be simply removed completely, as he fails to accomplish anything other than provide a way for the narrator to describe the social and political surroundings. I kept expecting something to happen that could at least change the status quo of that society, so that the book would at least become a narrative of a society being transformed, but that change never came. The world ends as it started, and although it can be argued that the main character himself had a transformation at the end, it is done in such a way that it does not feel as if it happened at all.You get to finish your reading experience with a feeling that you just read a sociology textbook written on the 50's. While there is nothing wrong with that, it is not what I expected when I set out to read a fiction novel.",Rafael Vianna valadares araujo
1,61,112,111.0,"I have no idea why everybody loves this book so much. It's full of cliches and it's foreshadowed like a mofo. The ending SUCKS. It's horrible, and bleak. In the end, what I got from this book: Resistance is futile. Just go with the crowd and keep your head down to avoid trouble.I waited 27 years to read this book, and when I closed it I was angry at the book for wasting that much of my life, even if it only was a few hours. I have no idea why people like Orwell so much.",Elysia
1,62,113,112.0,"I didnt like this book because it wasnt very interesting.The book was not a great topic,the language the book was written it wasnt very good.It didnt keep my attention i dont recommend this book.",Chance Holt
1,63,114,113.0,"I know you shouldn't slate a classic, but... I'm not big on politics so this was a poor choice for me to read. the first half is about politics, and the second about torture. I'll stick to my modern day warfare stories from Afghanistan thanks...wait a minute!",Kenny Telfer
1,64,115,114.0,"I am sorry to say this book bored me so much, that I couldn't finish it.",Jenn
1,65,116,115.0,I had to stop 12 pages in because i thought it was boring!,Benny
1,66,118,117.0,"Okay. I know this is a classic and I see why it is, but let's cut the crap and call a spade a spade- it's BORING!!",Lyndsay
1,67,119,118.0,"Προσωπικά δεν μπόρεσα να το τελειώσω αυτό το βιβλίο. Βέβαια, η ανάγνωση ξεκινούσε μ' ένα μεγάλο ντεσαβαντάζ: το βιβλίο υποφέρει εκ των πραγμάτων από το φαινόμενο του παρωχημένου μέλλοντος* που για τα δικά μου γούστα είναι ένας μεγάλος ανασταλτικός παράγοντας.* δηλ. περιγράφει ένα μέλλον το οποίο παρήλθε και δεν είναι πλέον πειστικό.Επιπλέον, ακόμα και η φοβία προς τον κομουνιστικό ολοκληρωτισμό είναι μάλλον παρωχημένη. Από εκεί και πέρα η δυστοπία που περιγράφεται είναι τόσο ακραία που στα δικά μου μάτια μοιάζει με καρικατούρα. Ίσως εάν υπήρχαν κάποια άλλα στοιχεία να μπορούσε η ιστορία να ζωντανέψει και να γίνει πειστική κι ενδιαφέρουσα αλλά εγώ δεν μπόρεσα, δυστυχώς, να βρω κάτι που να εκτιμήσω.Άρχισα να πηδάω σελίδες εκεί που ο Σμιθ διαβάζει ""το βιβλίο"" γιατί το περιεχόμενό του μου φάνηκε σαν ένα αδιάφορο κατεβατό (αφού περιέγραφε μια υποτιθέμενη αλήθεια για έναν κόσμο που δεν με πείθει). Προσπάθησα να συνεχίσω να διαβάζω για την σύλληψή του κτλ. αλλά το βιβλίο με είχε χάσει παντελώς πια και το είχα χάσει και μοναχά καταπιεζόμουνα. Έτσι το άφησα και μόλις έψαξα και διάβασα το υπόλοιπο σε περίληψη ώστε να γνωρίζω έστω το τέλος μιας και μπήκα σε τέτοιον κόπο.Η δική μου προσωπική εκτίμηση δίχως να θέλω να προσβάλω κανέναν.[ πρώτη δημοσίευση στην Λέσχη του Βιβλίου ]",Φαροφύλακας
1,68,123,122.0,"Ok. It didn't have the ""wow"" I was hoping for.",T. Jackson
1,69,124,123.0,"This is a boring polemic that provides absolutely no insight into actually existing models of state repression. In any case, everybody's moved over to the American model, so Orwell's scrawlings would do well to stick around on their crusty little island.Proread : http://www.exile.ru/articles/detail.p...",John Christy
1,70,126,125.0,"Ahhhhh!!!!!!!!!! HORIBLE BOOK!!!!!!!! Emotionally tramatizing, and depressing, even for me, happy perky Alyssa who's always happy.",Alyssa
1,71,129,128.0,"Another book assigned in high school. I suppose it's important that we read this book, but at the time I thought it was annoying and fucking depressing as hell. What a claustrophobic life. ",Kelly B
1,72,130,129.0,It was assigned reading in high school and it was analyzed to death. I couldn't wait for the torture to end. Sorry I didn't read it with an open mind.,Lorna
1,73,133,132.0,"I did not like this book at all. What I did not like about it was that you could hear the author's thoughts while you were reading the book. This might sound weird but I could really imagine the author doing the things that the character ""Goldstein"" did or parts that he wrote in ""the book"". I do not like books like this one where you hear the author's voice in the back of your head. I would much rather read a book where you did not even know there was an author at all. But that's just a thought of mine.The plot also was very confusing and sometimes I had to go back a few pages and read them again so I could actually understand what character it was about. Once or twice, I even got so bored from the book that I read it while thinking about something completely different which was not too smart because then I had to read them again :)The one and I think only thing I liked about the book was that the things that the author predicted, like the telescreens, actually happened or are available to buy today. That I thought was kind of funny but also a little creepy...",Elena =P
1,74,137,136.0,I didn't enjoy reading this book whatsoever. It was long and extremely confusing. The characters had split personalities that I couldn't keep up with. I don't normally read books that are like '1984'. This was the only Dystopian book that I have not liked reading.,Kayla Enfield
1,75,139,138.0,This was one of the most boring books i have ever read. This book was mostly about Winston walking around and complaining that the government he lived under was oppressive. This utopia/dystopia book was nothing but boring and long complaints about stuff that didn't matter because the author gives away that no one can win against the party early off in the beginning of the book. I would never recommend this book to anyone except those i hate. ,Chris Naber
1,76,141,140.0,"I wanted to like this, I really did, but I hated it. I may try it again at a new phase of life and see if I've changed my mind. It was interesting, but awful.",Elisha
1,77,142,141.0,I give this book one star because I personally didn’t like this book at all. I felt like it moved too slowly. It was back and forth between love and hate and was mostly facts and not entertaining.,Jamie Lee
1,78,153,152.0,No...just no.,Robert
1,79,154,153.0,"The setting is London. Not that it matters. Oceania is Utopia or Panem or the Community. It is a dystopia and the story is told in third person limited, entirely from the point of view of Winston Smith. As boring and ordinary a fictional protagonist we could ask for. He is a true everyman, doing his best to muddle through each day as dictated by the supreme will of his superiors. He has a job, one meal a day and a roof over his head. Nobody questions the traditional family unit in this futuristic setting. Women have no real role except as baby makers, laundresses and exercise instructors. Nobody questions anything.For a true appreciation of 1984, watch Star Trek, TNG S6:E10-11, ""Chain of Command"" That's the way this story should've been told. There are twenty-four chapters divided into three parts for a total of 298 pages. The plot is slow to develop. Orwell spends the first ten chapters introducing Winston, setting up his world and letting us follow him around so we can truly understand just how lucky we are to have the internet, the sexual revolution and to live in the information age that Orwell could never have foreseen. In a world where everyone shares their most intimate activities and tattles on each other daily, ""Big Brother is Watching"" has become laughingly obsolete. We are Big Brother. Winston's sexual partner, Julia, is the true martyr of this political propaganda tale. She does everything for Winston: initiates the relationship, provides their first meeting place, pretties herself up for him, encourages him to rebel against Big Brother, brings him gifts like black market sugar, coffee and bread. And what does Winston do for her in return? Not much besides curing Julia of insomnia by reading aloud to her and giving them a false sense of security which ultimately betrays them thanks to Winston's complete lack of character judgment. The ability of The Party to torture and destroy a man in a quest for ultimate power is insignificant next to a man and woman's ability to create life. Since Winston never cared about his ability to procreate with his first wife and cared even less if Julia was using contraceptives and O'Brian never used sexual abuse on Winston during the torture chapters, 1984 is laughingly outdated indeed. What is the worst torture you could imagine? What is in Room 101? Besides being forced to listen to a complete recitation of The Theory and Practice of Oligarchical Collectivism for any single, never married woman living in Utah, Room 101 is an LDS singles ward. ",Michelle Llewellyn
1,80,156,155.0,Personally I thought that 1984 was boring. The book starts of slow and ends boring. The only interesing part of the whole book was when Winston's face was eaten by rats. What I didnt like most about that book was that it mostly talked about some language called doublethink and it made me even more confused.,Tashiya Ballentine
1,81,158,157.0,"Read about 60 pages and couldn't get into it. In my opinion it was just boring and a bit too far ""out there."" Not what I expected at all",Nick
1,82,160,159.0,"What can I say about this book, besides boring? Had to read it for high school, and the movie was just as bad.",Jude Liebermann
1,83,161,160.0,"This is closer to a 1.5 stars for me. The first 2/3 of the book was incredibly boring, and the last 1/3 had some action but didn't save the book. I never really grew attached to any of the characters and didn't enjoy the plot of the novel. This was a required reading for school so I had to power through. I was disappointed because I LOVED Animal Farm, but in my opinion this book fell really short in all aspects.",Kelsi
1,84,162,161.0,Van Halen did it better. And it wasn't even their best work. Orwell sucks!,Dick Bush
1,85,164,163.0,"My friend recommended this book to me and i honestly had to force myself through this horribly boring book, not being able to finish it. The concept of Big Brother and this time period is quite interesting. Had the main character been relatable and less weird, i probably would have enjoyed it.",Breanne
1,86,165,164.0,"This is one of the most pretentious novels ever written. Anyone with half a brain could see the down side of a government that's too powerful and such but every teacher seems to love this book and views George Orwell as an oracle. there isn't even any likable characters which would be fine if they were relatable but no, I don't relate to any character. The book is way to political it keeps on shoving it's message down my throat. I fucking hate this book. It's a bland, pretentious, and just plain boring book",Nicholas Luu
1,87,168,167.0,"I ended up putting it down. Tried really hard, but I read for enjoyment and was not enjoying this book at all. ",Samantha Garner
1,88,171,170.0,This book was dreadful...the ending was the worst! Made me super angry. I don't get why I was forced to read this :(,Samyxsweetheart
1,89,172,171.0,I've decided that dystopia is more than I can stomach.,Lena
1,90,173,172.0,"I gave it the old college try, but I despised every page. Every single page.",Kori
1,91,174,173.0,"This is probably the most terrifying book I've ever read. It scared the crap out of me, which was probably the plan, so in that way it did something right. That being said, it wasn't my kind of book at all. I guess I like my books a little happier, so I'm glad to be finished with it.",Lene
1,92,176,175.0,Антиутопия. Вредно для здоровья. Остерегаться к прочтению.,Vald M
1,93,181,180.0,"Awful book! It was 250 of them explains what Big Brother was. Very little action in the book, it was extremely boring. I forced myself to finish it.",Chassadee Blomquist
1,94,183,182.0,Like the concept - hated the way Orwell handled it.,Mommy Farris
1,95,184,183.0,"I had to read this book for a class. I enjoyed it when Orwell would paint the big picture and describe how everything was in the future, however, he often got too carried away with describing unnecessary details. It got boring especially when you got to about the middle of the book and had to read a book within a book. If you are looking for a book to make you think and cause you to question society and the human race, this book is for you. If not, this read will do no more than that.",Shiloh Burt
1,96,185,184.0,God I hated this book! I'm not a distopia person and I just thought it was so boring. Nothing exciting happens. I understand so many more references now in life but that's the only reason I recommend anyone read it.,Priya
1,97,187,186.0,"As difficult as it may be to criticise a book of such immense popularity, I shall sheepishly do so nonetheless.I did not find the inner world of characters convincing at all. This novel, much like the Handmaid's Tale misses the strength of human soul...Under severe conditions people become stronger inside, all sort of things might happen on the outside, but the inner world is there and feeling of love and affection become sharper in the same way life gets sharper for those who know they have only a few years left to live. Here the characters are too bland and robotic, the author does not speak from experience but has this paranoid fantasises...If one writes about suffering for the book to be good it has to come from personal experience and Dostoevsky does that exceptionally well. If it is a science fiction book then one has to have a much better plot than Orwell demonstrates in 1984...Read the good soldier Sveik which is a historical account of the times when people had to think in a certain way and when they could be killed from saying one word wrong. Watch WestEast with Katherine Deneuve, set in a time of Stalinist repressions which shows that despite all the oppression people do not lose their souls...The purpose of this book as I see it is to scare...",Anastassiya
1,98,189,188.0, This book just wasn't for me....... Was a bit like pulling teeth!!,Dave Hayes
1,99,190,189.0,"القراءة الثانية لرواية جورج أورويل الأشهر 1984 والتى صدرت لأول مرة عام 1949كما صدر فى نفس العام رواية الساعة الخامسة والعشرون لقسطنطين جيورجيووعلى الرغم من تفوق الأول من حيث الشهرة إلا أن الثانية تتفوق فى الأبداع والعمق سواء من الناحية الروائية أو السياسيةفإذا أخذنا فى الأعتبار أن رواية أورويل صدرت عام 1949 سنجد أنها كانت مجرد توصيف للواقعفالعالم وقتها كان يحيا فى جحيم بدءً بالحرب العالمية الأولى والثورة البلشيفية والحروب الأهلية ثم الحرب العالمية الثانية وأكتشاف القنبلة الذرية وألقاء القنابل الذرية على هيروشيما وناجازاكى أنتهاءً (ومن وجهة نظرى هذا هو السبب الذى دفع أورويل لكتابة هذه الرواية) أن الفكر الشيوعى كان ينتشر وقتها أنتشار النار فى الهشيم كما أن النموذج الروسى كان يثير الرعب فى النفوس بالإضافة إلى ظهور نماذج أخرى أكثر تطرفاً كالصين الشيوعيةكما كان هناك دلالاتيين رمزيتيين من جعل شخصية غولدشتاين الثائر المُضطهد يهوديةأولاً أن أضطهاد اليهود أثناء الحرب العالمية الثانية كان لا يزال قابعاً فى النفوسثانياً أن كلاً من لينينين وماركس كانا يهودياً لذلك أختار من يثور ضد هذا الفكر والنظام من نفس القوميةبالإضافة إلى أن ونستون كان على قدر كبير من الغباء فمن يدير هكذا حوار

كان لابد له أن يعلم أن هذا منطق إرهابى وليس منطق مناضلفى النهاية ليس كل ما يحصل على الإشادة يكون فعلاً يستحقها فهناك الكثير من الأعمال التى تستحق فعلاً الإشادة لكن مع الأسف لا تحصل عليهاملحوظةالقراءة الثانية لم تكن مضيعة للوقت بل ساعدتنى فى تأكيد نظرتى الأول بطريقة أكثر منهجيةهذا أولاً أم ثانياً فنجمة لجورح أورويل نفسه الذى كما أعتقد كان يحب الشوكولاتة ",غزل أدم
1,100,191,190.0,Im sooo glad i finished this book i can kiss the ground!,Sophia McCutchen
1,101,193,192.0,"While this is probably one of George Orwell's best works that I have read, I still couldn't enjoy it. It's a book I will never read again.The characters are very well developed, and the prose is good, but the overall story, to me, is just terrible.",Kimberly Deverell
1,102,195,194.0,Worst book ever! ,Christine
1,103,197,196.0,"So slow, I kept waiting for something to happen.",Olga
1,104,198,197.0,"The book 1984 was not particularly enjoyable for me to read. It was a book that I was unable to picture in my head as I read. 1984 was a Utopia/dystopia book, which are usually very interesting to read, but this one was a little confusing at times and I thought the story line was a little dull.",Sydney Nelson
