Commodity_Description,Country_Code,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_Description,Value
"Meat, Beef and Veal",US,1973,1973,0,125,Domestic Consumption,(1000 MT CWE),10647
"Meat, Beef and Veal",US,1973,1973,0,88,Exports,(1000 MT CWE),41
"Meat, Beef and Veal",US,1973,1973,0,57,Imports,(1000 MT CWE),917
"Meat, Beef and Veal",US,1973,1973,0,28,Production,(1000 MT CWE),9808
"Meat, Beef and Veal",US,1974,1974,0,125,Domestic Consumption,(1000 MT CWE),11453
"Meat, Beef and Veal",US,1974,1974,0,88,Exports,(1000 MT CWE),29
"Meat, Beef and Veal",US,1974,1974,0,57,Imports,(1000 MT CWE),747
"Meat, Beef and Veal",US,1974,1974,0,28,Production,(1000 MT CWE),10715
"Meat, Beef and Veal",US,1975,1975,0,125,Domestic Consumption,(1000 MT CWE),12080
"Meat, Beef and Veal",US,1975,1975,0,88,Exports,(1000 MT CWE),24
"Meat, Beef and Veal",US,1975,1975,0,57,Imports,(1000 MT CWE),808
"Meat, Beef and Veal",US,1975,1975,0,28,Production,(1000 MT CWE),11271
"Meat, Beef and Veal",US,1976,1976,0,125,Domestic Consumption,(1000 MT CWE),13024
"Meat, Beef and Veal",US,1976,1976,0,88,Exports,(1000 MT CWE),41
"Meat, Beef and Veal",US,1976,1976,0,57,Imports,(1000 MT CWE),950
"Meat, Beef and Veal",US,1976,1976,0,28,Production,(1000 MT CWE),12166
"Meat, Beef and Veal",US,1977,1977,0,125,Domestic Consumption,(1000 MT CWE),12754
"Meat, Beef and Veal",US,1977,1977,0,88,Exports,(1000 MT CWE),47
"Meat, Beef and Veal",US,1977,1977,0,57,Imports,(1000 MT CWE),890
"Meat, Beef and Veal",US,1977,1977,0,28,Production,(1000 MT CWE),11844
"Meat, Beef and Veal",US,1978,1978,0,125,Domestic Consumption,(1000 MT CWE),12160
"Meat, Beef and Veal",US,1978,1978,0,88,Exports,(1000 MT CWE),74
"Meat, Beef and Veal",US,1978,1978,0,57,Imports,(1000 MT CWE),1053
"Meat, Beef and Veal",US,1978,1978,0,28,Production,(1000 MT CWE),11279
"Meat, Beef and Veal",US,1979,1979,0,125,Domestic Consumption,(1000 MT CWE),10982
"Meat, Beef and Veal",US,1979,1979,0,88,Exports,(1000 MT CWE),78
"Meat, Beef and Veal",US,1979,1979,0,57,Imports,(1000 MT CWE),1103
"Meat, Beef and Veal",US,1979,1979,0,28,Production,(1000 MT CWE),9924
"Meat, Beef and Veal",US,1980,1980,0,125,Domestic Consumption,(1000 MT CWE),10877
"Meat, Beef and Veal",US,1980,1980,0,88,Exports,(1000 MT CWE),80
"Meat, Beef and Veal",US,1980,1980,0,57,Imports,(1000 MT CWE),946
"Meat, Beef and Veal",US,1980,1980,0,28,Production,(1000 MT CWE),9998
"Meat, Beef and Veal",US,1981,1981,0,125,Domestic Consumption,(1000 MT CWE),11097
"Meat, Beef and Veal",US,1981,1981,0,88,Exports,(1000 MT CWE),100
"Meat, Beef and Veal",US,1981,1981,0,57,Imports,(1000 MT CWE),799
"Meat, Beef and Veal",US,1981,1981,0,28,Production,(1000 MT CWE),10354
"Meat, Beef and Veal",US,1982,1982,0,125,Domestic Consumption,(1000 MT CWE),11176
"Meat, Beef and Veal",US,1982,1982,0,88,Exports,(1000 MT CWE),115
"Meat, Beef and Veal",US,1982,1982,0,57,Imports,(1000 MT CWE),889
"Meat, Beef and Veal",US,1982,1982,0,28,Production,(1000 MT CWE),10425
"Meat, Beef and Veal",US,1983,1983,0,125,Domestic Consumption,(1000 MT CWE),11476
"Meat, Beef and Veal",US,1983,1983,0,88,Exports,(1000 MT CWE),125
"Meat, Beef and Veal",US,1983,1983,0,57,Imports,(1000 MT CWE),873
"Meat, Beef and Veal",US,1983,1983,0,28,Production,(1000 MT CWE),10748
"Meat, Beef and Veal",US,1984,1984,0,125,Domestic Consumption,(1000 MT CWE),11594
"Meat, Beef and Veal",US,1984,1984,0,88,Exports,(1000 MT CWE),152
"Meat, Beef and Veal",US,1984,1984,0,57,Imports,(1000 MT CWE),838
"Meat, Beef and Veal",US,1984,1984,0,28,Production,(1000 MT CWE),10929
"Meat, Beef and Veal",US,1985,1985,0,125,Domestic Consumption,(1000 MT CWE),11819
"Meat, Beef and Veal",US,1985,1985,0,88,Exports,(1000 MT CWE),151
"Meat, Beef and Veal",US,1985,1985,0,57,Imports,(1000 MT CWE),948
"Meat, Beef and Veal",US,1985,1985,0,28,Production,(1000 MT CWE),10997
"Meat, Beef and Veal",US,1986,1986,0,125,Domestic Consumption,(1000 MT CWE),12036
"Meat, Beef and Veal",US,1986,1986,0,88,Exports,(1000 MT CWE),239
"Meat, Beef and Veal",US,1986,1986,0,57,Imports,(1000 MT CWE),978
"Meat, Beef and Veal",US,1986,1986,0,28,Production,(1000 MT CWE),11292
"Meat, Beef and Veal",US,1987,1987,0,125,Domestic Consumption,(1000 MT CWE),11660
"Meat, Beef and Veal",US,1987,1987,0,88,Exports,(1000 MT CWE),277
"Meat, Beef and Veal",US,1987,1987,0,57,Imports,(1000 MT CWE),1040
"Meat, Beef and Veal",US,1987,1987,0,28,Production,(1000 MT CWE),10884
"Meat, Beef and Veal",US,1988,1988,0,125,Domestic Consumption,(1000 MT CWE),11643
"Meat, Beef and Veal",US,1988,1988,0,88,Exports,(1000 MT CWE),313
"Meat, Beef and Veal",US,1988,1988,0,57,Imports,(1000 MT CWE),1092
"Meat, Beef and Veal",US,1988,1988,0,28,Production,(1000 MT CWE),10880
"Meat, Beef and Veal",US,1989,1989,0,125,Domestic Consumption,(1000 MT CWE),11196
"Meat, Beef and Veal",US,1989,1989,0,88,Exports,(1000 MT CWE),464
"Meat, Beef and Veal",US,1989,1989,0,57,Imports,(1000 MT CWE),988
"Meat, Beef and Veal",US,1989,1989,0,28,Production,(1000 MT CWE),10633
"Meat, Beef and Veal",US,1990,1990,0,125,Domestic Consumption,(1000 MT CWE),11048
"Meat, Beef and Veal",US,1990,1990,0,88,Exports,(1000 MT CWE),456
"Meat, Beef and Veal",US,1990,1990,0,57,Imports,(1000 MT CWE),1069
"Meat, Beef and Veal",US,1990,1990,0,28,Production,(1000 MT CWE),10464
"Meat, Beef and Veal",US,1991,1991,0,125,Domestic Consumption,(1000 MT CWE),11076
"Meat, Beef and Veal",US,1991,1991,0,88,Exports,(1000 MT CWE),539
"Meat, Beef and Veal",US,1991,1991,0,57,Imports,(1000 MT CWE),1091
"Meat, Beef and Veal",US,1991,1991,0,28,Production,(1000 MT CWE),10534
"Meat, Beef and Veal",US,1992,1992,0,125,Domestic Consumption,(1000 MT CWE),11146
"Meat, Beef and Veal",US,1992,1992,0,88,Exports,(1000 MT CWE),601
"Meat, Beef and Veal",US,1992,1992,0,57,Imports,(1000 MT CWE),1107
"Meat, Beef and Veal",US,1992,1992,0,28,Production,(1000 MT CWE),10613
"Meat, Beef and Veal",US,1993,1993,0,125,Domestic Consumption,(1000 MT CWE),11019
"Meat, Beef and Veal",US,1993,1993,0,88,Exports,(1000 MT CWE),578
"Meat, Beef and Veal",US,1993,1993,0,57,Imports,(1000 MT CWE),1089
"Meat, Beef and Veal",US,1993,1993,0,28,Production,(1000 MT CWE),10584
"Meat, Beef and Veal",US,1994,1994,0,125,Domestic Consumption,(1000 MT CWE),11528
"Meat, Beef and Veal",US,1994,1994,0,88,Exports,(1000 MT CWE),731
"Meat, Beef and Veal",US,1994,1994,0,57,Imports,(1000 MT CWE),1075
"Meat, Beef and Veal",US,1994,1994,0,28,Production,(1000 MT CWE),11194
"Meat, Beef and Veal",US,1995,1995,0,125,Domestic Consumption,(1000 MT CWE),11726
"Meat, Beef and Veal",US,1995,1995,0,88,Exports,(1000 MT CWE),826
"Meat, Beef and Veal",US,1995,1995,0,57,Imports,(1000 MT CWE),954
"Meat, Beef and Veal",US,1995,1995,0,28,Production,(1000 MT CWE),11585
"Meat, Beef and Veal",US,1997,1997,0,125,Domestic Consumption,(1000 MT CWE),11768
"Meat, Beef and Veal",US,1997,1997,0,88,Exports,(1000 MT CWE),969
"Meat, Beef and Veal",US,1997,1997,0,57,Imports,(1000 MT CWE),1063
"Meat, Beef and Veal",US,1997,1997,0,28,Production,(1000 MT CWE),11714
"Meat, Beef and Veal",US,1999,1999,0,125,Domestic Consumption,(1000 MT CWE),12325
"Meat, Beef and Veal",US,1999,1999,0,88,Exports,(1000 MT CWE),1094
"Meat, Beef and Veal",US,1999,1999,0,57,Imports,(1000 MT CWE),1303
"Meat, Beef and Veal",US,1999,1999,0,28,Production,(1000 MT CWE),12124
"Meat, Swine",US,1960,1960,0,125,Domestic Consumption,(1000 MT CWE),6416
"Meat, Swine",US,1960,1960,0,88,Exports,(1000 MT CWE),34
"Meat, Swine",US,1960,1960,0,57,Imports,(1000 MT CWE),101
"Meat, Swine",US,1960,1960,0,28,Production,(1000 MT CWE),6307
"Meat, Swine",US,1961,1961,0,125,Domestic Consumption,(1000 MT CWE),6246
"Meat, Swine",US,1961,1961,0,88,Exports,(1000 MT CWE),33
"Meat, Swine",US,1961,1961,0,57,Imports,(1000 MT CWE),102
"Meat, Swine",US,1961,1961,0,28,Production,(1000 MT CWE),6191
"Meat, Swine",US,1962,1962,0,125,Domestic Consumption,(1000 MT CWE),6401
"Meat, Swine",US,1962,1962,0,88,Exports,(1000 MT CWE),30
"Meat, Swine",US,1962,1962,0,57,Imports,(1000 MT CWE),116
"Meat, Swine",US,1962,1962,0,28,Production,(1000 MT CWE),6329
"Meat, Swine",US,1963,1963,0,125,Domestic Consumption,(1000 MT CWE),6607
"Meat, Swine",US,1963,1963,0,88,Exports,(1000 MT CWE),64
"Meat, Swine",US,1963,1963,0,57,Imports,(1000 MT CWE),119
"Meat, Swine",US,1963,1963,0,28,Production,(1000 MT CWE),6574
"Meat, Swine",US,1964,1964,0,125,Domestic Consumption,(1000 MT CWE),6698
"Meat, Swine",US,1964,1964,0,88,Exports,(1000 MT CWE),63
"Meat, Swine",US,1964,1964,0,57,Imports,(1000 MT CWE),142
"Meat, Swine",US,1964,1964,0,28,Production,(1000 MT CWE),6622
"Meat, Swine",US,1965,1965,0,125,Domestic Consumption,(1000 MT CWE),6005
"Meat, Swine",US,1965,1965,0,88,Exports,(1000 MT CWE),25
"Meat, Swine",US,1965,1965,0,57,Imports,(1000 MT CWE),173
"Meat, Swine",US,1965,1965,0,28,Production,(1000 MT CWE),5797
"Meat, Swine",US,1966,1966,0,125,Domestic Consumption,(1000 MT CWE),5937
"Meat, Swine",US,1966,1966,0,88,Exports,(1000 MT CWE),26
"Meat, Swine",US,1966,1966,0,57,Imports,(1000 MT CWE),195
"Meat, Swine",US,1966,1966,0,28,Production,(1000 MT CWE),5805
"Meat, Swine",US,1967,1967,0,125,Domestic Consumption,(1000 MT CWE),6560
"Meat, Swine",US,1967,1967,0,88,Exports,(1000 MT CWE),26
"Meat, Swine",US,1967,1967,0,57,Imports,(1000 MT CWE),200
"Meat, Swine",US,1967,1967,0,28,Production,(1000 MT CWE),6410
"Meat, Swine",US,1968,1968,0,125,Domestic Consumption,(1000 MT CWE),6766
"Meat, Swine",US,1968,1968,0,88,Exports,(1000 MT CWE),42
"Meat, Swine",US,1968,1968,0,57,Imports,(1000 MT CWE),210
"Meat, Swine",US,1968,1968,0,28,Production,(1000 MT CWE),6584
"Meat, Swine",US,1969,1969,0,125,Domestic Consumption,(1000 MT CWE),6615
"Meat, Swine",US,1969,1969,0,88,Exports,(1000 MT CWE),70
"Meat, Swine",US,1969,1969,0,57,Imports,(1000 MT CWE),204
"Meat, Swine",US,1969,1969,0,28,Production,(1000 MT CWE),6461
"Meat, Swine",US,1970,1970,0,125,Domestic Consumption,(1000 MT CWE),6803
"Meat, Swine",US,1970,1970,0,88,Exports,(1000 MT CWE),31
"Meat, Swine",US,1970,1970,0,57,Imports,(1000 MT CWE),223
"Meat, Swine",US,1970,1970,0,28,Production,(1000 MT CWE),6667
"Meat, Swine",US,1971,1971,0,125,Domestic Consumption,(1000 MT CWE),7454
"Meat, Swine",US,1971,1971,0,88,Exports,(1000 MT CWE),33
"Meat, Swine",US,1971,1971,0,57,Imports,(1000 MT CWE),225
"Meat, Swine",US,1971,1971,0,28,Production,(1000 MT CWE),7260
"Meat, Swine",US,1972,1972,0,125,Domestic Consumption,(1000 MT CWE),6791
"Meat, Swine",US,1972,1972,0,88,Exports,(1000 MT CWE),48
"Meat, Swine",US,1972,1972,0,57,Imports,(1000 MT CWE),244
"Meat, Swine",US,1972,1972,0,28,Production,(1000 MT CWE),6542
"Meat, Swine",US,1973,1973,0,125,Domestic Consumption,(1000 MT CWE),6129
"Meat, Swine",US,1973,1973,0,88,Exports,(1000 MT CWE),78
"Meat, Swine",US,1973,1973,0,57,Imports,(1000 MT CWE),242
"Meat, Swine",US,1973,1973,0,28,Production,(1000 MT CWE),5998
"Meat, Swine",US,1974,1974,0,125,Domestic Consumption,(1000 MT CWE),6665
"Meat, Swine",US,1974,1974,0,88,Exports,(1000 MT CWE),47
"Meat, Swine",US,1974,1974,0,57,Imports,(1000 MT CWE),221
"Meat, Swine",US,1974,1974,0,28,Production,(1000 MT CWE),6500
"Meat, Swine",US,1975,1975,0,125,Domestic Consumption,(1000 MT CWE),5472
"Meat, Swine",US,1975,1975,0,88,Exports,(1000 MT CWE),96
"Meat, Swine",US,1975,1975,0,57,Imports,(1000 MT CWE),199
"Meat, Swine",US,1975,1975,0,28,Production,(1000 MT CWE),5343
"Meat, Swine",US,1976,1976,0,125,Domestic Consumption,(1000 MT CWE),5842
"Meat, Swine",US,1976,1976,0,88,Exports,(1000 MT CWE),143
"Meat, Swine",US,1976,1976,0,57,Imports,(1000 MT CWE),213
"Meat, Swine",US,1976,1976,0,28,Production,(1000 MT CWE),5755
"Meat, Swine",US,1977,1977,0,125,Domestic Consumption,(1000 MT CWE),6087
"Meat, Swine",US,1977,1977,0,88,Exports,(1000 MT CWE),133
"Meat, Swine",US,1977,1977,0,57,Imports,(1000 MT CWE),199
"Meat, Swine",US,1977,1977,0,28,Production,(1000 MT CWE),6009
"Meat, Swine",US,1978,1978,0,125,Domestic Consumption,(1000 MT CWE),6105
"Meat, Swine",US,1978,1978,0,88,Exports,(1000 MT CWE),130
"Meat, Swine",US,1978,1978,0,57,Imports,(1000 MT CWE),225
"Meat, Swine",US,1978,1978,0,28,Production,(1000 MT CWE),6075
"Meat, Swine",US,1979,1979,0,125,Domestic Consumption,(1000 MT CWE),7087
"Meat, Swine",US,1979,1979,0,88,Exports,(1000 MT CWE),132
"Meat, Swine",US,1979,1979,0,57,Imports,(1000 MT CWE),227
"Meat, Swine",US,1979,1979,0,28,Production,(1000 MT CWE),7008
"Meat, Swine",US,1980,1980,0,125,Domestic Consumption,(1000 MT CWE),7641
"Meat, Swine",US,1980,1980,0,88,Exports,(1000 MT CWE),114
"Meat, Swine",US,1980,1980,0,57,Imports,(1000 MT CWE),249
"Meat, Swine",US,1980,1980,0,28,Production,(1000 MT CWE),7537
"Meat, Swine",US,1981,1981,0,125,Domestic Consumption,(1000 MT CWE),7358
"Meat, Swine",US,1981,1981,0,88,Exports,(1000 MT CWE),139
"Meat, Swine",US,1981,1981,0,57,Imports,(1000 MT CWE),246
"Meat, Swine",US,1981,1981,0,28,Production,(1000 MT CWE),7200
"Meat, Swine",US,1982,1982,0,125,Domestic Consumption,(1000 MT CWE),6661
"Meat, Swine",US,1982,1982,0,88,Exports,(1000 MT CWE),97
"Meat, Swine",US,1982,1982,0,57,Imports,(1000 MT CWE),278
"Meat, Swine",US,1982,1982,0,28,Production,(1000 MT CWE),6454
"Meat, Swine",US,1983,1983,0,125,Domestic Consumption,(1000 MT CWE),7067
"Meat, Swine",US,1983,1983,0,88,Exports,(1000 MT CWE),99
"Meat, Swine",US,1983,1983,0,57,Imports,(1000 MT CWE),317
"Meat, Swine",US,1983,1983,0,28,Production,(1000 MT CWE),6894
"Meat, Swine",US,1984,1984,0,125,Domestic Consumption,(1000 MT CWE),7084
"Meat, Swine",US,1984,1984,0,88,Exports,(1000 MT CWE),74
"Meat, Swine",US,1984,1984,0,57,Imports,(1000 MT CWE),433
"Meat, Swine",US,1984,1984,0,28,Production,(1000 MT CWE),6719
"Meat, Swine",US,1985,1985,0,125,Domestic Consumption,(1000 MT CWE),7197
"Meat, Swine",US,1985,1985,0,88,Exports,(1000 MT CWE),58
"Meat, Swine",US,1985,1985,0,57,Imports,(1000 MT CWE),512
"Meat, Swine",US,1985,1985,0,28,Production,(1000 MT CWE),6716
"Meat, Swine",US,1986,1986,0,125,Domestic Consumption,(1000 MT CWE),6865
"Meat, Swine",US,1986,1986,0,88,Exports,(1000 MT CWE),39
"Meat, Swine",US,1986,1986,0,57,Imports,(1000 MT CWE),509
"Meat, Swine",US,1986,1986,0,28,Production,(1000 MT CWE),6379
"Meat, Swine",US,1987,1987,0,125,Domestic Consumption,(1000 MT CWE),6964
"Meat, Swine",US,1987,1987,0,88,Exports,(1000 MT CWE),49
"Meat, Swine",US,1987,1987,0,57,Imports,(1000 MT CWE),542
"Meat, Swine",US,1987,1987,0,28,Production,(1000 MT CWE),6519
"Meat, Swine",US,1988,1988,0,125,Domestic Consumption,(1000 MT CWE),7506
"Meat, Swine",US,1988,1988,0,88,Exports,(1000 MT CWE),88
"Meat, Swine",US,1988,1988,0,57,Imports,(1000 MT CWE),515
"Meat, Swine",US,1988,1988,0,28,Production,(1000 MT CWE),7114
"Meat, Swine",US,1989,1989,0,125,Domestic Consumption,(1000 MT CWE),7516
"Meat, Swine",US,1989,1989,0,88,Exports,(1000 MT CWE),119
"Meat, Swine",US,1989,1989,0,57,Imports,(1000 MT CWE),406
"Meat, Swine",US,1989,1989,0,28,Production,(1000 MT CWE),7173
"Meat, Swine",US,1990,1990,0,125,Domestic Consumption,(1000 MT CWE),7272
"Meat, Swine",US,1990,1990,0,88,Exports,(1000 MT CWE),108
"Meat, Swine",US,1990,1990,0,57,Imports,(1000 MT CWE),407
"Meat, Swine",US,1990,1990,0,28,Production,(1000 MT CWE),6965
"Meat, Swine",US,1991,1991,0,125,Domestic Consumption,(1000 MT CWE),7438
"Meat, Swine",US,1991,1991,0,88,Exports,(1000 MT CWE),128
"Meat, Swine",US,1991,1991,0,57,Imports,(1000 MT CWE),351
"Meat, Swine",US,1991,1991,0,28,Production,(1000 MT CWE),7257
"Meal, Cottonseed",US,2014,2016,1,125,Domestic Consumption,(1000 MT),721
"Meal, Cottonseed",US,2014,2016,1,88,Exports,(1000 MT),62
"Meal, Cottonseed",US,2014,2016,1,57,Imports,(1000 MT),0
"Meal, Cottonseed",US,2014,2016,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Cottonseed",US,2014,2016,1,28,Production,(1000 MT),776
"Meal, Cottonseed",US,2015,2016,1,125,Domestic Consumption,(1000 MT),601
"Meal, Cottonseed",US,2015,2016,1,88,Exports,(1000 MT),68
"Meal, Cottonseed",US,2015,2016,1,57,Imports,(1000 MT),0
"Meal, Cottonseed",US,2015,2016,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Cottonseed",US,2015,2016,1,28,Production,(1000 MT),676
"Meal, Fish",US,2015,2016,1,125,Domestic Consumption,(1000 MT),240
"Meal, Fish",US,2015,2016,1,88,Exports,(1000 MT),145
"Meal, Fish",US,2015,2016,1,57,Imports,(1000 MT),40
"Meal, Fish",US,2015,2016,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Fish",US,2015,2016,1,28,Production,(1000 MT),345
"Meal, Peanut",US,2015,2016,1,125,Domestic Consumption,(1000 MT),143
"Meal, Peanut",US,2015,2016,1,88,Exports,(1000 MT),5
"Meal, Peanut",US,2015,2016,1,57,Imports,(1000 MT),2
"Meal, Peanut",US,2015,2016,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Peanut",US,2015,2016,1,28,Production,(1000 MT),146
"Meal, Rapeseed",US,2001,2014,1,125,Domestic Consumption,(1000 MT),1239
"Meal, Rapeseed",US,2001,2014,1,88,Exports,(1000 MT),7
"Meal, Rapeseed",US,2001,2014,1,57,Imports,(1000 MT),836
"Meal, Rapeseed",US,2001,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2001,2014,1,28,Production,(1000 MT),409
"Meal, Rapeseed",US,2002,2014,1,125,Domestic Consumption,(1000 MT),1240
"Meal, Rapeseed",US,2002,2014,1,88,Exports,(1000 MT),31
"Meal, Rapeseed",US,2002,2014,1,57,Imports,(1000 MT),919
"Meal, Rapeseed",US,2002,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2002,2014,1,28,Production,(1000 MT),352
"Meal, Rapeseed",US,2003,2014,1,125,Domestic Consumption,(1000 MT),1876
"Meal, Rapeseed",US,2003,2014,1,88,Exports,(1000 MT),36
"Meal, Rapeseed",US,2003,2014,1,57,Imports,(1000 MT),1486
"Meal, Rapeseed",US,2003,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2003,2014,1,28,Production,(1000 MT),426
"Meal, Rapeseed",US,2004,2014,1,125,Domestic Consumption,(1000 MT),1853
"Meal, Rapeseed",US,2004,2014,1,88,Exports,(1000 MT),31
"Meal, Rapeseed",US,2004,2014,1,57,Imports,(1000 MT),1334
"Meal, Rapeseed",US,2004,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2004,2014,1,28,Production,(1000 MT),550
"Meal, Rapeseed",US,2005,2014,1,125,Domestic Consumption,(1000 MT),1983
"Meal, Rapeseed",US,2005,2014,1,88,Exports,(1000 MT),49
"Meal, Rapeseed",US,2005,2014,1,57,Imports,(1000 MT),1461
"Meal, Rapeseed",US,2005,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2005,2014,1,28,Production,(1000 MT),571
"Meal, Rapeseed",US,2006,2014,1,125,Domestic Consumption,(1000 MT),1991
"Meal, Rapeseed",US,2006,2014,1,88,Exports,(1000 MT),60
"Meal, Rapeseed",US,2006,2014,1,57,Imports,(1000 MT),1497
"Meal, Rapeseed",US,2006,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2006,2014,1,28,Production,(1000 MT),554
"Meal, Rapeseed",US,2007,2014,1,125,Domestic Consumption,(1000 MT),2343
"Meal, Rapeseed",US,2007,2014,1,88,Exports,(1000 MT),99
"Meal, Rapeseed",US,2007,2014,1,57,Imports,(1000 MT),1814
"Meal, Rapeseed",US,2007,2014,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2007,2014,1,28,Production,(1000 MT),628
"Meal, Rapeseed",US,2014,2016,1,125,Domestic Consumption,(1000 MT),4435
"Meal, Rapeseed",US,2014,2016,1,88,Exports,(1000 MT),34
"Meal, Rapeseed",US,2014,2016,1,57,Imports,(1000 MT),3497
"Meal, Rapeseed",US,2014,2016,1,140,Industrial Dom. Cons.,(1000 MT),0
"Meal, Rapeseed",US,2014,2016,1,28,Production,(1000 MT),972
"Meal, Rapeseed",US,2015,2016,1,125,Domestic Consumption,(1000 MT),4497
"Meal, Rapeseed",US,2015,2016,1,88,Exports,(1000 MT),68
"Meal, Rapeseed",US,2015,2016,1,57,Imports,(1000 MT),3637
