,user,review
48,Dianne,"When I finally got around to reading it-way past adolescence- I was so disappointed. This book is mentioned every day everywhere in print and I don't know what I expected, but this wasn't it."
49,James Pritchert,I can honestly say I hated this book. Sure I know its a wonderful classic and all that but really. Why would a school system force a student to read this if they really cared about them? I may have to read this again just to reinforce that I still hate it.
50,Hailee,"J.D. Salinger's purpose in writing this book was a failed attempt at entertaining, but somehow achieves the purpose of some people relating to it. This book tries to catch your attention, and then disappoints you because nothing exciting ever happens and there is no climax. The theme in this book is to not become a phony, rich, spoiled kid, or raise one. Holden thinks he is misunderstood, which seeing as I find him repulsive, maybe he is. He has been kicked out of several schools because he never applies himself. He never applies himself because he knows that his parents will not do anything to him except enroll and ship him away to another school. This book is a narration and partially a description. It is a narration because it tells of Holden's three day journey in New York City, with some flashbacks to his childhood. I say it is partially a description because it tells the events of Holden's story, but it did not make the reader (at least myself) feel like they are experiencing it first-hand. It is hard to relate or feel anything for Holden because he is such a hypocrite and annoying. My opinion of the book, if you cannot already tell, is that I did not like it. Actually, I hated it. Going into the book, I thought I would like it because I had some friends that loved it. Then, at the beginning I was like ""Okay this is a little boring but something exciting will happen soon."" As I soon found out, that never happened. Holden is lonely, repulsive, and immensely annoying. Holden is very repetitive in everything he does. In his speech, which it seems like every other word is a curse word. He also brings things up over and over again. How he hates his teacher in his robe, how he loves his red hat and got it for only a dollar, how he hates Stradlater, how he does not care for Ackley, but still hangs out with him, ect. He is also repetitive in his actions. Holden is a very lonely guy, so he drinks a lot. He fails at reconnecting a relationship, he drinks, calls up a friend, and fails at reconnecting that relationship also. There was nothing that I liked about this book. There is nothing I would change about the book, except my choice of reading it. I have read a book that I had similar feelings about the characters with, ""Wuthering Heights"". Just like Holden, all the characters in that book are unlikeable, repulsive, and annoying. I hope I have better experiences with other classics that I choose to read. "
51,MercMel,"If you need a practical reason to hate this book, it caused the death of John Lennon. There. Every other reason is revealed in the droning, repetitive texts so exhausting that if you took out all the ""goddamns"" and ""phonies"" and ""and all""s, you'd have about a 14 page novel. But the worst part is that JD Salinger has no idea how to capture the mind of even the most cynical American youth. Somehow this has been hailed as the perfect example of relating to a teen audience, failing to respect the complexities of just any human being by reducing the protagonist to a one-note bore. To create any character as unrealistic and dare I say, ""phony"" as this little snotnose Holden is a literary sacrilege. Where are the ducks, Holden? Why is your shoelace a sellout, Holden? Why should you have to tie it, because it is phony? No, it REALLY, REALLY IS, isn't it? Ah yes, but also you love little kids? Hmm...you wanna save them in a magical fairyland where they never grow up, even though you are probably the last person any child would want to be around? I'm surprised this book didn't inspire Michael Jackson more than Mark David Chapman.Sexually naive, judgmental, and privileged beyond belief, there is not even the slightest social satire to back this Ben Braddock-esque creep. There are no reasons given as to WHY Holden's parents suck, WHY he feels the world owes him something...because there AREN'T. So Salinger gives us no reason to sympathize with this whiny little maggot. No sense of humor, no new ideas, a twist ending that is as pointless as the rest. And the worst part is, this is taught in schools to TEENS with the idea that THIS afterbirth is how we can somehow CONNECT with them. I'm sure there are worse books out there, but this could be a contender for the worst ""classic"" must-read (that I have been forced to read), and I recommend it to NO ONE, especially people who can somehow relate to it, because you just might kill a beloved cultural icon."
52,David J.,"This will be rather short since I have many books that I enjoyed to write about. I simply did not get this book. I know it is a classic, I know that many people worship Holden(sp), but I simply could not stand him. I did not trust a word he said and frankly did not care what happened to him. I simply wanted to get through the book. "
53,Sally,"I remember reading this book in the 12th grade. I hated it then and these thoughts continue to this day. I will 100% never read this book again. Thank god Salinger forbade anyone from making this into a movie because if Hollywood churned out an adaptation every few years, then I might rip my hair out. There was very little to redeem this book. Holden was a major SHIT. Spoiled, privileged assface who seems like he'll fit right into a John Green novel on a quest to bang the manic pixie dream girl. I don't mind unlikeable characters at all, but there is no room for an uncompelling protagonist in this world. What was worse was having to analyse Holden as if he was some complex creation and having to complete assignments as if he had ANY redeemable qualities. Simply put, Holden Caulfield is a basic bitch. The only thing I can laud Salinger for is his writing. I remember actually enjoying the book until I realized how thin the plot was. His writing also somehow managed to temporarily mask the literary shitstain that is Holden Caulfield. "
54,Balaji Krishnan,The worst I've ever read.
55,Nicole Blais,"Hated this book!!! This kid needed a job. I read it when I was in my 30's; maybe I would have thought differently if I had read it in my teens, but I don't think so. I wanted to live life way back then too, not whine about it. "
56,Michael Hartley,"This is considered a Classic? HOLY TRIPE! This book has no redemming value what so ever. Unless you consider foul language and lack of any moral fiber values. I did find myself curseing after I read this book, and it was too predictable. Page one I figured out that he was in an insane asylum."
57,Angeline Peterson,"I don't know why I detest this book so much, but I do. Perhaps, it's because I didn't understand it or perhaps it's because I was trying to find too much meaning in it. Either way, I thought it was boring and pointless."
58,Zarinna Êliza,I've tried to read this book twice. I didn't really relate to the character and the constant swearing was quite annoying so I gave up and read something else.
59,Medusagoddess,"I hated this book. I read it a few months ago as one of those that I was supposed to have read in high school and I HATED it. It was so badly written with a rambling storyline. Still, Im glad to say I have read it and glad that I will never have to read it again. "
60,Maitha,"In my opinion, I disliked this book from the beginning but decided to finish it. I felt that it wasn't fair if I judged the book without finishing. Anyways, first of all, the fact that he says ""depresses me"" a lot actually depressed me. It wasn't a page turner at all. The only time the main character is happy is the last paragraph which is the last page. It was a waste of time. A boring read. "
61,Jonah K," 	The catcher in the rye ever since its first publication has been referred to as one of the “best novels” in american literature. REALLY? I honestly think that the federal judge should have kept it behind the bars if it was goin too steal this much of a hype when it obviously does not deserve it. 	When I was reading this book, I didn’t feel like I was actually reading the story of a teen, but more like reading a story that a middle aged man wrote through the eyes of a white teenager kid. All the “godddams”, “hells” and “shits” in the world couldn’t cover it up. In fact , all the awkwardly used profanity was one of the factors that made me wish that this book was made in the world of farenheight 451. It might be because Holden existed in a different time and place and society as me, but , the way Holden Caufield talks seems to me like a japanese man trying to sing Elvis. Its just not the same. J.D Sallingers attempts to add frositng to the deal with all the immature profanity, but it seems to me that its all a sich too much. And if you ask me, teenagers don’t talk like that. Perhaps one of the editors should have pre-exposed the story to a teenager so that Salinger could have altered the way Holden talks.	I understand why so many proposes this book to teenagers though. Holden Caulfields reputation lives up to his title as a national symbol for rebellios, premature teens. Perhaps this book has given great influence to the lifes of some teens. BUT, in my oppinion he is hypocritical whiny emo kid unlike the . The pasimistic punk turns down sex even though he claims that’s all he ever thinks about. His emotion overruns his logic, causing him to get nowhere in life and once he gets the oppurtunity, He turns into a female cat. All of these features are presicley the kind of person that pisses me off. He complains about EVERY LITTLE thing, failing to appreciating all the magnificent things taking place in his life. This book may have influened millions of people to refelct and better them selves ….. and some to kill the beatles but nonethe less!, I didn’t learn nor feel anything after reading this book.But the annoyance caused by a single character dosent make this a bad book. In my oppinion, it seems that Sallinger concentrated too much on making this book “teenage like “ through out the whole storyline that it became stale after awhile. The scene where Holden mimmicks a broadway star and starts tapping in the showerroom, the man wearing womens clothing Holden saw through his hotel windows, All these scenes seems to be fairly korny to me and again it seems that Sallinger tried a bit too hard to add a senec of innocense and youth to the story that it seemed plastic.	This might be because of my lousy reading skills but it seemed to me that radther than having a meaningful plot, all this book was was 300 pages of a shallow white kid complaining about things I don’t care about. Some may call this type of plot simple yet insight, I call it boring. The story dosent have any ups and downs withing the plot causing the whole story to become flat and predictable, failing to make readers, or atleast me, to sit on the edge of the seats while reading this book. Through out reading this book, I was hoping that at somepoint there was going to be a changing point in the flow, something that would make the rest of the story worth reading, but the book failed me and made me say”that’s it?” when I completed the book. 	First of all let me say that I Love Humor. Whether it is in a movie, novel or everyday life. And I can honestly say, that I could have read this whole book with a stragiht face. As mentioned before all the jokes, sarcasm and occurings became stale almost right from the beggining. Perhaps this was because all the jokes were of similar taste and had no ups nor downs. Regarding the supposedly funny things that are presented in the story, It seems as if it could be funny if it was presented in a different context. A lot of the jokes actually has the potential of being quite comical but the form Sallinger presents ruins the joke, giving me the sensation that the joke is my enemy. 	Overall, Maybe I would recommend this book to extremley naiive teenagers but noone else. Pehaps I would have if Sallinger has changed the tempo in the story once in a while, I would have given it a better rating."
62,Faiqa Mirza,Bleh. DNF
63,Stephanie,"This is considered a classic, I just could not get into it. Very slow "
64,Lisa C,"I know this is a popular book, but I didn't like it. Mostly because of all the swear words. I read the book as fast as I could just so I could get all those words out of my head. Aside from that, I don't remember much about it. Maybe I missed the point of it, I don't know."
65,Xtin Noelle,"I wanted to read this book because they say this is one of the best novels ever written. I just forced myself to finish reading it. Makes no sense, I totally dont get the story."
66,Timothy Boyd,"This is one of the top 5 worst books I have ever read in my entire life. The only reason it get's a 1 star rating from me is because there are no negative star ratings. The only way you should read this book is after being a prisoner for years in solitary confinement and it is the only book you are allowed. The only way I would recommend this book to someone is if I were a sadistic English teacher and wanted to watch it drain the life out of the students as they had to read and try to make sense out of it. I will never get the time back in my life I spent reading this book, the time would have been better spent giving myself an anesthesia free appendectomy."
67,Isabella Cisneros,"Catcher in the Rye, by J.D Salinger. An praised classic, and famous coming of age story. I recently read it my self, although I like J.D Salingers work I for a lack of better word hated this book. I found the character annoying and completely childish. The boy was given every opportunity and still acted poorly.I usually enjoy coming of age books but this book was different. I like how in coming of age books, or in any book the main character goes through change, for better or worse. But he stayed the same ignorant, stupid boy he has always been. Another thing I disliked abut this book was how the character to act grown by engaging in activity s as drinking and smoking. This just made him seem even more childish and ignorant. Although J.D Salinger has many great works I would not consider this one of them."
68,Jewels,"Perhaps I'm too old to really get the gist of the story. I know that when people have read it in high school, they seem to like it pretty well. Coming at it from a grown up perspective, it just seems like the main character is an immature, irresponsible spoiled brat. I realize that wanting everything to stay the same is part of human nature, but the reckless way in which he proceeded just looked as if he wouldn't make it to adulthood, not that he really cared. I just can't like this book."
69,Andy Kerckhoff,"I did not understand it as a young man. My English teacher raved about it, and I never caught even a shred of a glimpse of why anyone liked it. Perhaps at the hands of a great teacher, I might find it valuable, now that I am an adult."
70,Shannon,"I had to put this up here just so I could say how much I hated it. F you, JD Salinger, and your stupid pretentious character. That's right, hipsters, I hated Catcher in the Rye, bring it."
71,Jeanie,I am not a fan of this book. I read it because it is on the required reading list at my high school so I wanted to be familiar with the content of the book. I found the book to be quite dull.
72,Katie Lindquist,"The main character is a completely unredeaming jerk-off who I spent the entire book loathing. I have never understood why people love this book so, I really hated it."
73,Sarah Fugate,Should everyone read this at least once? In my opinion yes. Does it live up to the hype? No. It's not very good.
74,Jacintaclark,"I'm 15 years old and just read this book, personally I didn't like it much at all and I was very disappointed by it. The writing in it frustrated me so much to a point I didn't want to read the book anymore. I'm going to read it again in a couple of years. But at the moment I'm rating this book poorly "
75,Yoeun Pen,"I read this book in English class back in high school and hated it. As stated by others on here, either you can relate with Holden and love the book, or you can't relate with him and hate it. I'm definitely in the latter camp. Not all teens are selfish, whiney, full of angst and hate the world. That was a stereotype that I could never relate to—no matter how many songs, movies and books say."
76,Jonathanrivera,I did not like this book at all. His life didnt make any sense and he was doing stupid things the whole book. Holden is a very confused boy who really needs to a friend. Holden needs some type of motivation to keep him in class. The Cathcer in the Rye was so boring.
77,Kelsi,"I read this because it's a classic, but never had to read it for any of my classes. Overall, I wasn't impressed. At all. It took some determination to get through it, and it's only 214 pages long. If it were any longer I don't think I'd have finished it at all.Holden, the main character, curses every other word, and it lends nothing to the story. And really, there's not much of a story anyway. It follows the life of an awkward kid that seems a little mentally unstable and has some trouble with girls. That's about it...and while I understand that it's a ""coming of age story"" I don't think that's much of an excuse for this book. I feel like it was a waste of my time to read, and am grateful for my teachers in high school who chose not to have us read it."
78,Saira,"To be honest I didn't enjoy reading The Catcher in the Rye. I may of been going through problems of my own, the chararter, Holden, is always so negative. It seemed as if he absolutely hated everything about life. He had gone through a lot of problems. Getting kicked out of four schools for failing almost all of his classes, he smoked, and her was so negative and always upset about any little problem. This book gave me a lesson "
79,Jen,"As of right now I completely despise this book. I am not sure what was written that put the bad taste in my mouth, but I potentially am willing to give it a second shot."
80,Angela Sellers,"This book was the biggest waste of paper in the world! The whole time I read it, I was thinking, ""What is the point of this book?"" I had to ask my english teacher what the purpose of this book is. It is incredibly LAME!!! So many other author's book about a teenage boys should be considered classics, and NOT The Catcher in the Rye. "
81,Ivey,"This book was terrible. The narrator, a snobby and spoiled teenage boy, drove me utterly and uncontrollably crazy. It seemed like it wasn't a book, just an expression of this boy's criticisms of the world and how it was full of ""phonies"" and ""morons"". This is a horrid and annoying piece of work, yet a classic. "
82,Shannonpresler,"It is a wonderfully written portrayal of a narrow minded boy who routinely misses the complexity of other people because he is so certain that everyone is missing the grandeur of his own. He wanders here and there, angry, isolated and self-righteous. "
83,Pratik Malladi,"Was unable to understand. It's still a popular book so i'd rather not comment to much. You have to read each line twice to understand what he means, at least for an indian reader or a new reader."
84,Megha Chakraborty,Boring and disappointing. No story at all. 
85,June,I read enough of the book to know that there are a lot of other good books out there that don't use the Lord's name in vain or deal in blatant promiscuity! I hope my kids never had to read this for high school.
86,Talitha,"Just couldn't get into it as hard as I tried because it's such a classic. It seemed immature and, honestly, just boring. "
87,Arthur Rohman,"This was one of the most pathetic excuses for literature I have ever read. The protagonist's problems all stem from his sheer laziness and refusal to do anything productive with his life. If it were possible to give lower than 1 star, I would. I felt absolutely no relation whatsoever to the protagonist, and would rather take a bullet than be subjected to the nightmare of reading this atrocity again."
88,Kira Collens,it was boring
89,Peachy,"I didn't enjoy this book when I first read it in school, and my opinion of it didn't change much when assigned to one of my children. I think there are other books which show the particular writing style which are more interesting and expanding."
90,Pamela Pickering,"I had to add this after we briefly spoke about it in our last book club meeting. I suppose I would give this a 1.5 star rating, the 1/2 star reflecting that I actually finished it. I believe to appreciate this book you might have to be <18 years of age. Read it in my mid to late 20s and just didn't quite get it. The narrator was continually frustrated about people who complained, were apathetic, etc and every thing he complained about he was doing himself! I just wanted to say ""Look in the mirror, Dude!"". Can't remember much more than that but thought I had to share since it is frequently touted as an ""Amazing Book!""."
